Boston,Oct 12 2019,vs New Jersey,REG,W, 3-0 , -220,U,6
Boston,Oct 14 2019,vs Anaheim,REG,W, 4-2 , -225,O,5.5
Boston,Oct 17 2019,vs Tampa Bay,REG,L, 4-3 , -115,O,6
Boston,Oct 19 2019,@ Toronto,REG,L, 4-3 , -105,O,6.5
Boston,Oct 22 2019,vs Toronto,REG,W, 4-2 , -190,U,6.5
Boston,Oct 26 2019,vs St. Louis,REG,W, 3-0 , -170,U,5.5
Boston,Oct 27 2019,@ NY Rangers,REG,W, 7-4 , -160,O,6
Boston,Oct 29 2019,vs San Jose,REG,W, 5-1 , -220,P,6
Boston,Nov 2 2019,vs Ottawa,REG,W, 5-2 , -400,O,6
Boston,Nov 4 2019,vs Pittsburgh,REG,W, 6-4 , -160,O,6
Boston,Nov 5 2019,@ Montreal,REG,L, 5-4 , -115,O,6
Boston,Nov 8 2019,@ Detroit,REG,L, 4-2 , -250,P,6
Boston,Nov 10 2019,vs Philadelphia,REG,L, 3-2 , -200,U,6
Boston,Nov 12 2019,vs Florida,REG,L, 5-4 , -160,O,6.5
Boston,Nov 15 2019,@ Toronto,REG,W, 4-2 , -105,U,6.5
Boston,Nov 16 2019,vs Washington,REG,L, 3-2 , -115,U,6.5
Boston,Nov 19 2019,@ New Jersey,REG,W, 5-1 , -145,O,5.5
Boston,Nov 21 2019,vs Buffalo,REG,W, 3-2 , -250,U,5.5
Boston,Nov 23 2019,vs Minnesota,REG,W, 5-4 , -220,O,5.5
Boston,Nov 26 2019,@ Montreal,REG,W, 8-1 , -115,O,6
Boston,Nov 27 2019,@ Ottawa,REG,W, 2-1 , -150,U,5.5
Boston,Nov 29 2019,vs NY Rangers,REG,W, 3-2 , -220,U,6.5
Boston,Dec 1 2019,vs Montreal,REG,W, 3-1 , -190,U,6
Boston,Dec 3 2019,vs Carolina,REG,W, 2-0 , -150,U,6
Boston,Dec 5 2019,vs Chicago,REG,L, 4-3 , -230,O,6
Boston,Dec 7 2019,vs Colorado,REG,L, 4-1 , -150,U,5.5
Boston,Dec 9 2019,@ Ottawa,REG,L, 5-2 , -180,O,6
Boston,Dec 11 2019,@ Washington,REG,L, 3-2 , +110,U,6
Boston,Dec 12 2019,@ Tampa Bay,REG,L, 3-2 , +115,U,6
Boston,Dec 14 2019,@ Florida,REG,W, 4-2 , -120,P,6
Boston,Dec 17 2019,vs Los Angeles,REG,L, 4-3 , -270,O,5.5
Boston,Dec 19 2019,vs NY Islanders,REG,L, 3-2 , -190,U,5.5
Boston,Dec 21 2019,vs Nashville,REG,L, 4-3 , -155,O,6
Boston,Dec 23 2019,vs Washington,REG,W, 7-3 , -125,O,6
Boston,Dec 27 2019,@ Buffalo,REG,W, 3-0 , -145,U,5.5
Boston,Dec 29 2019,vs Buffalo,REG,W, 3-2 , -230,U,5.5
Boston,Dec 31 2019,@ New Jersey,REG,L, 3-2 , -180,U,5.5
Boston,Jan 2 2020,vs Columbus,REG,L, 2-1 , -225,U,5.5
Boston,Jan 4 2020,vs Edmonton,REG,L, 4-1 , -230,U,6
Boston,Jan 7 2020,@ Nashville,REG,W, 6-2 , -120,O,6
Boston,Jan 9 2020,vs Winnipeg,REG,W, 5-4 , -245,O,6
Boston,Jan 11 2020,@ NY Islanders,REG,W, 3-2 , -130,U,5.5
Boston,Jan 13 2020,@ Philadelphia,REG,L, 6-5 , -130,O,5.5
Boston,Jan 14 2020,@ Columbus,REG,L, 3-0 , -140,U,5.5
Boston,Jan 16 2020,vs Pittsburgh,REG,W, 4-1 , -125,U,6
Boston,Jan 19 2020,@ Pittsburgh,REG,L, 4-3 , +100,O,6
Boston,Jan 21 2020,vs Vegas,REG,W, 3-2 , -155,U,6
Boston,Jan 31 2020,@ Winnipeg,REG,W, 2-1 , -185,U,6
Boston,Feb 1 2020,@ Minnesota,REG,W, 6-1 , -125,O,5.5
Boston,Feb 4 2020,vs Vancouver,REG,W, 4-0 , -200,U,6
Boston,Feb 5 2020,@ Chicago,REG,W, 2-1 , -150,U,6
Boston,Feb 8 2020,vs Arizona,REG,W, 4-2 , -240,O,5.5
Boston,Feb 9 2020,@ Detroit,REG,L, 3-1 , -360,U,5.5
Boston,Feb 12 2020,vs Montreal,REG,W, 4-1 , -220,U,5.5
Boston,Feb 15 2020,vs Detroit,REG,W, 4-1 , -500,U,5.5
Boston,Feb 16 2020,@ NY Rangers,REG,W, 3-1 , -155,U,6
Boston,Feb 19 2020,@ Edmonton,REG,W, 2-1 , -185,U,6
Boston,Feb 21 2020,@ Calgary,REG,W, 4-3 , -140,O,6
Boston,Feb 22 2020,@ Vancouver,REG,L, 9-3 , -145,O,5.5
Boston,Feb 25 2020,vs Calgary,REG,L, 5-2 , -200,O,6
Boston,Feb 27 2020,vs Dallas,REG,W, 4-3 , -170,O,5
Boston,Feb 29 2020,@ NY Islanders,REG,W, 4-0 , -145,U,5.5
Boston,Mar 3 2020,@ Tampa Bay,REG,W, 2-1 , +100,U,5.5
